recorder Number of active agents
Timestamp: 21 de jan de 2021 19:58:24
ConsLimit: 4
ConsolidationLimit: 500
Consolidationrandom: 50
D: 4
DecayStartPoint: 1000
Decayrandom: 40
FindspaceSteps: 2
FindspaceSteps2: 2
FindspaceSteps3: 2
Log: 0
NumAgents: 100
PercentageBlue: 50
PercentageYellow: 40
Percentagered: 10
Pred: 7
Predrandom: 25
SpaceSize: 51


"tick","total active agents","red active agents","yellow active agents","blue active agents"
1.0,100.0,10.0,40.0,50.0
2.0,100.0,10.0,40.0,50.0
3.0,100.0,10.0,40.0,50.0
4.0,100.0,10.0,40.0,50.0
5.0,100.0,10.0,40.0,50.0
6.0,100.0,10.0,40.0,50.0
7.0,100.0,10.0,40.0,50.0
8.0,100.0,10.0,40.0,50.0
9.0,100.0,10.0,40.0,50.0
10.0,100.0,10.0,40.0,50.0
11.0,100.0,10.0,40.0,50.0
12.0,100.0,10.0,40.0,50.0
13.0,100.0,10.0,40.0,50.0
14.0,100.0,10.0,40.0,50.0
15.0,100.0,10.0,40.0,50.0
16.0,100.0,10.0,40.0,50.0
17.0,100.0,10.0,40.0,50.0
18.0,100.0,10.0,40.0,50.0
19.0,100.0,10.0,40.0,50.0
20.0,100.0,10.0,40.0,50.0
21.0,100.0,10.0,40.0,50.0
22.0,100.0,10.0,40.0,50.0
23.0,100.0,10.0,40.0,50.0
24.0,100.0,10.0,40.0,50.0
25.0,100.0,10.0,40.0,50.0
26.0,100.0,10.0,40.0,50.0
27.0,100.0,10.0,40.0,50.0
28.0,100.0,10.0,40.0,50.0
29.0,100.0,10.0,40.0,50.0
30.0,100.0,10.0,40.0,50.0
31.0,100.0,10.0,40.0,50.0
32.0,100.0,10.0,40.0,50.0
33.0,100.0,10.0,40.0,50.0
34.0,100.0,10.0,40.0,50.0
35.0,100.0,10.0,40.0,50.0
36.0,100.0,10.0,40.0,50.0
37.0,100.0,10.0,40.0,50.0
38.0,100.0,10.0,40.0,50.0
39.0,100.0,10.0,40.0,50.0
40.0,100.0,10.0,40.0,50.0
41.0,100.0,10.0,40.0,50.0
42.0,100.0,10.0,40.0,50.0
43.0,100.0,10.0,40.0,50.0
44.0,100.0,10.0,40.0,50.0
45.0,100.0,10.0,40.0,50.0
46.0,100.0,10.0,40.0,50.0
47.0,100.0,10.0,40.0,50.0
48.0,100.0,10.0,40.0,50.0
49.0,100.0,10.0,40.0,50.0
50.0,100.0,10.0,40.0,50.0
51.0,100.0,10.0,40.0,50.0
52.0,100.0,10.0,40.0,50.0
53.0,100.0,10.0,40.0,50.0
54.0,100.0,10.0,40.0,50.0
55.0,100.0,10.0,40.0,50.0
56.0,100.0,10.0,40.0,50.0
57.0,100.0,10.0,40.0,50.0
58.0,100.0,10.0,40.0,50.0
59.0,100.0,10.0,40.0,50.0
60.0,100.0,10.0,40.0,50.0
61.0,100.0,10.0,40.0,50.0
62.0,100.0,10.0,40.0,50.0
63.0,100.0,10.0,40.0,50.0
64.0,100.0,10.0,40.0,50.0
65.0,100.0,10.0,40.0,50.0
66.0,100.0,10.0,40.0,50.0
67.0,100.0,10.0,40.0,50.0
68.0,100.0,10.0,40.0,50.0
69.0,100.0,10.0,40.0,50.0
70.0,100.0,10.0,40.0,50.0
71.0,100.0,10.0,40.0,50.0
72.0,100.0,10.0,40.0,50.0
