i, massa total dos inativos, red, yellow, blue 
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,1,0,0,1
28,1,0,0,2
29,2,0,0,3
30,7,0,1,4
31,14,0,2,6
32,29,1,6,12
33,40,1,8,22
34,55,3,13,31
35,68,4,22,48
36,73,8,26,51
37,81,16,32,58
38,87,17,38,74
39,90,19,48,86
40,93,19,49,100
41,94,19,53,103
42,95,20,55,108
43,95,20,56,109
44,95,20,56,110
45,95,20,56,111
46,95,20,56,112
47,95,20,56,112
48,95,20,56,112
49,95,20,56,112
