recorder derivative
Timestamp: 21 de jan de 2021 19:58:25
ConsLimit: 4
ConsolidationLimit: 500
Consolidationrandom: 50
D: 4
DecayStartPoint: 1000
Decayrandom: 40
FindspaceSteps: 2
FindspaceSteps2: 2
FindspaceSteps3: 2
Log: 0
NumAgents: 100
PercentageBlue: 50
PercentageYellow: 40
Percentagered: 10
Pred: 7
Predrandom: 25
SpaceSize: 51


"tick","derivative"
1.0,41.0
2.0,41.0
3.0,41.0
4.0,41.0
5.0,41.0
6.0,41.0
7.0,41.0
8.0,41.0
9.0,41.0
10.0,41.0
11.0,41.0
12.0,41.0
13.0,41.0
14.0,41.0
15.0,41.0
16.0,41.0
17.0,41.0
18.0,41.0
19.0,41.0
20.0,41.0
21.0,41.0
22.0,41.0
23.0,41.0
24.0,41.0
25.0,41.0
26.0,41.0
27.0,41.0
28.0,41.0
29.0,41.0
30.0,41.0
31.0,41.0
32.0,41.0
33.0,41.0
34.0,41.0
35.0,41.0
36.0,41.0
37.0,41.0
38.0,41.0
39.0,41.0
40.0,41.0
41.0,41.0
42.0,41.0
43.0,41.0
44.0,41.0
45.0,41.0
46.0,41.0
47.0,41.0
48.0,41.0
49.0,41.0
50.0,41.0
51.0,48.0
52.0,48.0
53.0,48.0
54.0,48.0
55.0,48.0
56.0,48.0
57.0,48.0
58.0,48.0
59.0,48.0
60.0,48.0
61.0,48.0
62.0,48.0
63.0,48.0
64.0,48.0
65.0,48.0
66.0,48.0
67.0,48.0
68.0,48.0
69.0,48.0
70.0,48.0
71.0,48.0
72.0,48.0
73.0,48.0
74.0,48.0
75.0,48.0
76.0,48.0
77.0,48.0
78.0,48.0
79.0,48.0
80.0,48.0
81.0,48.0
82.0,48.0
83.0,48.0
84.0,48.0
85.0,48.0
86.0,48.0
87.0,48.0
88.0,48.0
89.0,48.0
90.0,48.0
91.0,48.0
92.0,48.0
93.0,48.0
94.0,48.0
95.0,48.0
96.0,48.0
97.0,48.0
98.0,48.0
99.0,48.0
100.0,48.0
101.0,48.0
102.0,48.0
103.0,49.0
104.0,49.0
105.0,50.0
106.0,50.0
107.0,50.0
108.0,51.0
109.0,51.0
110.0,51.0
111.0,51.0
112.0,51.0
113.0,51.0
114.0,52.0
115.0,53.0
116.0,53.0
117.0,53.0
118.0,53.0
119.0,53.0
120.0,53.0
121.0,53.0
122.0,53.0
123.0,53.0
124.0,53.0
125.0,53.0
126.0,53.0
127.0,53.0
128.0,53.0
129.0,53.0
130.0,53.0
131.0,53.0
132.0,53.0
133.0,53.0
134.0,54.0
135.0,54.0
136.0,54.0
137.0,54.0
138.0,54.0
139.0,54.0
140.0,54.0
141.0,54.0
142.0,54.0
143.0,54.0
144.0,54.0
145.0,54.0
146.0,54.0
147.0,54.0
148.0,54.0
149.0,54.0
150.0,54.0
151.0,54.0
152.0,54.0
153.0,54.0
154.0,54.0
155.0,54.0
156.0,54.0
157.0,54.0
158.0,54.0
159.0,54.0
160.0,54.0
161.0,54.0
162.0,54.0
163.0,54.0
164.0,54.0
165.0,54.0
166.0,54.0
167.0,54.0
168.0,54.0
169.0,54.0
170.0,54.0
171.0,54.0
172.0,54.0
173.0,54.0
174.0,54.0
175.0,54.0
176.0,54.0
177.0,54.0
178.0,54.0
179.0,54.0
180.0,54.0
181.0,54.0
182.0,54.0
183.0,54.0
184.0,54.0
185.0,54.0
186.0,54.0
187.0,54.0
188.0,54.0
189.0,54.0
190.0,54.0
191.0,54.0
192.0,55.0
193.0,55.0
194.0,55.0
195.0,55.0
196.0,55.0
197.0,55.0
198.0,55.0
199.0,55.0
200.0,55.0
201.0,55.0
202.0,56.0
203.0,56.0
204.0,56.0
205.0,56.0
206.0,56.0
207.0,56.0
208.0,56.0
209.0,56.0
210.0,56.0
211.0,56.0
212.0,56.0
213.0,56.0
214.0,56.0
215.0,56.0
216.0,56.0
217.0,56.0
218.0,56.0
219.0,56.0
220.0,56.0
221.0,57.0
222.0,57.0
223.0,57.0
224.0,57.0
225.0,57.0
226.0,57.0
227.0,57.0
228.0,57.0
229.0,57.0
230.0,57.0
231.0,57.0
232.0,57.0
233.0,57.0
234.0,57.0
235.0,57.0
236.0,57.0
237.0,57.0
238.0,57.0
239.0,57.0
240.0,57.0
241.0,57.0
242.0,57.0
243.0,57.0
244.0,57.0
245.0,57.0
246.0,57.0
247.0,57.0
248.0,57.0
249.0,57.0
250.0,57.0
251.0,57.0
252.0,57.0
253.0,57.0
254.0,57.0
255.0,57.0
256.0,57.0
257.0,57.0
258.0,57.0
259.0,57.0
260.0,57.0
261.0,57.0
262.0,57.0
263.0,57.0
264.0,57.0
265.0,57.0
266.0,57.0
267.0,57.0
268.0,57.0
269.0,57.0
270.0,57.0
271.0,57.0
272.0,57.0
273.0,57.0
274.0,57.0
275.0,57.0
276.0,57.0
277.0,57.0
278.0,57.0
279.0,58.0
280.0,58.0
281.0,58.0
282.0,58.0
283.0,58.0
284.0,58.0
285.0,58.0
286.0,58.0
287.0,58.0
288.0,58.0
289.0,58.0
290.0,58.0
291.0,58.0
292.0,58.0
293.0,58.0
294.0,58.0
295.0,58.0
296.0,58.0
297.0,58.0
298.0,58.0
299.0,58.0
300.0,58.0
301.0,58.0
302.0,58.0
303.0,58.0
304.0,58.0
305.0,58.0
306.0,58.0
307.0,58.0
308.0,58.0
309.0,58.0
310.0,58.0
311.0,58.0
312.0,58.0
313.0,58.0
314.0,58.0
315.0,58.0
316.0,58.0
317.0,58.0
318.0,58.0
319.0,58.0
320.0,59.0
321.0,59.0
322.0,59.0
323.0,59.0
324.0,59.0
325.0,59.0
326.0,59.0
327.0,59.0
328.0,59.0
329.0,59.0
330.0,59.0
331.0,59.0
332.0,59.0
333.0,59.0
334.0,59.0
335.0,59.0
336.0,59.0
337.0,59.0
338.0,59.0
339.0,59.0
340.0,59.0
341.0,59.0
342.0,59.0
343.0,59.0
344.0,59.0
345.0,59.0
346.0,59.0
347.0,59.0
348.0,59.0
349.0,59.0
350.0,59.0
351.0,59.0
352.0,59.0
353.0,59.0
354.0,59.0
355.0,59.0
356.0,59.0
357.0,59.0
358.0,59.0
359.0,59.0
360.0,59.0
361.0,60.0
362.0,60.0
363.0,60.0
364.0,60.0
365.0,60.0
366.0,60.0
367.0,60.0
368.0,60.0
369.0,60.0
370.0,60.0
371.0,60.0
372.0,60.0
373.0,60.0
374.0,60.0
375.0,60.0
376.0,60.0
377.0,60.0
378.0,60.0
379.0,60.0
380.0,60.0
381.0,60.0
382.0,60.0
383.0,60.0
384.0,60.0
385.0,60.0
386.0,60.0
387.0,60.0
388.0,60.0
389.0,60.0
390.0,60.0
391.0,60.0
392.0,60.0
393.0,60.0
394.0,60.0
395.0,60.0
396.0,60.0
397.0,60.0
398.0,60.0
399.0,60.0
400.0,60.0
401.0,60.0
402.0,60.0
403.0,60.0
404.0,60.0
405.0,60.0
406.0,60.0
407.0,60.0
408.0,60.0
409.0,60.0
410.0,60.0
411.0,60.0
412.0,60.0
413.0,60.0
414.0,60.0
415.0,60.0
416.0,60.0
417.0,60.0
418.0,60.0
419.0,60.0
420.0,60.0
421.0,60.0
422.0,60.0
423.0,60.0
424.0,60.0
425.0,60.0
426.0,60.0
427.0,60.0
428.0,60.0
429.0,60.0
430.0,60.0
431.0,60.0
432.0,62.0
433.0,62.0
434.0,62.0
435.0,62.0
436.0,62.0
437.0,62.0
438.0,62.0
439.0,62.0
440.0,62.0
441.0,62.0
442.0,62.0
443.0,62.0
444.0,62.0
445.0,62.0
446.0,62.0
447.0,62.0
448.0,62.0
449.0,62.0
450.0,63.0
451.0,63.0
452.0,63.0
453.0,63.0
454.0,63.0
455.0,63.0
456.0,63.0
457.0,63.0
458.0,63.0
459.0,63.0
460.0,63.0
461.0,63.0
462.0,63.0
463.0,63.0
464.0,63.0
465.0,63.0
466.0,63.0
467.0,63.0
468.0,63.0
469.0,63.0
470.0,63.0
471.0,63.0
472.0,63.0
473.0,63.0
474.0,64.0
475.0,64.0
476.0,64.0
477.0,64.0
478.0,64.0
479.0,64.0
480.0,64.0
481.0,64.0
482.0,64.0
483.0,64.0
484.0,64.0
485.0,64.0
486.0,64.0
487.0,64.0
488.0,64.0
489.0,64.0
490.0,64.0
491.0,64.0
492.0,64.0
493.0,64.0
494.0,64.0
495.0,65.0
496.0,65.0
497.0,65.0
498.0,65.0
499.0,65.0
500.0,65.0
501.0,65.0
502.0,65.0
503.0,65.0
504.0,65.0
505.0,65.0
506.0,66.0
507.0,66.0
508.0,66.0
509.0,66.0
510.0,68.0
511.0,68.0
512.0,68.0
513.0,68.0
514.0,69.0
515.0,69.0
516.0,69.0
517.0,69.0
518.0,69.0
519.0,69.0
520.0,70.0
521.0,70.0
522.0,70.0
523.0,70.0
524.0,70.0
525.0,70.0
526.0,70.0
