recorder Number of inactive agents
Timestamp: 21 de jan de 2021 19:58:25
ConsLimit: 4
ConsolidationLimit: 500
Consolidationrandom: 50
D: 4
DecayStartPoint: 1000
Decayrandom: 40
FindspaceSteps: 2
FindspaceSteps2: 2
FindspaceSteps3: 2
Log: 0
NumAgents: 100
PercentageBlue: 50
PercentageYellow: 40
Percentagered: 10
Pred: 7
Predrandom: 25
SpaceSize: 51


"tick","total inactive agents","red inactive agents","yellow inactive agents","blue inactive agents","cyan inactive agents","green inactive agents"
1.0,41.0,1.0,0.0,0.0,40.0,0.0
2.0,41.0,1.0,0.0,0.0,40.0,0.0
3.0,41.0,1.0,0.0,0.0,40.0,0.0
4.0,41.0,1.0,0.0,0.0,40.0,0.0
5.0,41.0,1.0,0.0,0.0,40.0,0.0
6.0,41.0,1.0,0.0,0.0,40.0,0.0
7.0,41.0,1.0,0.0,0.0,40.0,0.0
8.0,41.0,1.0,0.0,0.0,40.0,0.0
9.0,41.0,1.0,0.0,0.0,40.0,0.0
10.0,41.0,1.0,0.0,0.0,40.0,0.0
11.0,41.0,1.0,0.0,0.0,40.0,0.0
12.0,41.0,1.0,0.0,0.0,40.0,0.0
13.0,41.0,1.0,0.0,0.0,40.0,0.0
14.0,41.0,1.0,0.0,0.0,40.0,0.0
15.0,41.0,1.0,0.0,0.0,40.0,0.0
16.0,41.0,1.0,0.0,0.0,40.0,0.0
17.0,41.0,1.0,0.0,0.0,40.0,0.0
18.0,41.0,1.0,0.0,0.0,40.0,0.0
19.0,41.0,1.0,0.0,0.0,40.0,0.0
20.0,41.0,1.0,0.0,0.0,40.0,0.0
21.0,41.0,1.0,0.0,0.0,40.0,0.0
22.0,41.0,1.0,0.0,0.0,40.0,0.0
23.0,41.0,1.0,0.0,0.0,40.0,0.0
24.0,41.0,1.0,0.0,0.0,40.0,0.0
25.0,41.0,1.0,0.0,0.0,40.0,0.0
26.0,41.0,1.0,0.0,0.0,40.0,0.0
27.0,41.0,1.0,0.0,0.0,40.0,0.0
28.0,41.0,1.0,0.0,0.0,40.0,0.0
29.0,41.0,1.0,0.0,0.0,40.0,0.0
30.0,41.0,1.0,0.0,0.0,40.0,0.0
31.0,41.0,1.0,0.0,0.0,40.0,0.0
32.0,41.0,1.0,0.0,0.0,40.0,0.0
33.0,41.0,1.0,0.0,0.0,40.0,0.0
34.0,41.0,1.0,0.0,0.0,40.0,0.0
35.0,41.0,1.0,0.0,0.0,40.0,0.0
36.0,41.0,1.0,0.0,0.0,40.0,0.0
37.0,41.0,1.0,0.0,0.0,40.0,0.0
38.0,41.0,1.0,0.0,0.0,40.0,0.0
39.0,41.0,1.0,0.0,0.0,40.0,0.0
40.0,41.0,1.0,0.0,0.0,40.0,0.0
41.0,41.0,1.0,0.0,0.0,40.0,0.0
42.0,41.0,1.0,0.0,0.0,40.0,0.0
43.0,41.0,1.0,0.0,0.0,40.0,0.0
44.0,41.0,1.0,0.0,0.0,40.0,0.0
45.0,41.0,1.0,0.0,0.0,40.0,0.0
46.0,41.0,1.0,0.0,0.0,40.0,0.0
47.0,41.0,1.0,0.0,0.0,40.0,0.0
48.0,41.0,1.0,0.0,0.0,40.0,0.0
49.0,41.0,1.0,0.0,0.0,40.0,0.0
50.0,41.0,1.0,0.0,0.0,40.0,0.0
51.0,48.0,1.0,1.0,6.0,40.0,0.0
52.0,48.0,1.0,1.0,6.0,40.0,0.0
53.0,48.0,1.0,1.0,6.0,40.0,0.0
54.0,48.0,1.0,1.0,6.0,40.0,0.0
55.0,48.0,1.0,1.0,6.0,40.0,0.0
56.0,48.0,1.0,1.0,6.0,40.0,0.0
57.0,48.0,1.0,1.0,6.0,40.0,0.0
58.0,48.0,1.0,1.0,6.0,40.0,0.0
59.0,48.0,1.0,1.0,6.0,40.0,0.0
60.0,48.0,1.0,1.0,6.0,40.0,0.0
61.0,48.0,1.0,1.0,6.0,40.0,0.0
62.0,48.0,1.0,1.0,6.0,40.0,0.0
63.0,48.0,1.0,1.0,6.0,40.0,0.0
64.0,48.0,1.0,1.0,6.0,40.0,0.0
65.0,48.0,1.0,1.0,6.0,40.0,0.0
66.0,48.0,1.0,1.0,6.0,40.0,0.0
67.0,48.0,1.0,1.0,6.0,40.0,0.0
68.0,48.0,1.0,1.0,6.0,40.0,0.0
69.0,48.0,1.0,1.0,6.0,40.0,0.0
70.0,48.0,1.0,1.0,6.0,40.0,0.0
71.0,48.0,1.0,1.0,6.0,40.0,0.0
72.0,48.0,1.0,1.0,6.0,40.0,0.0
73.0,48.0,1.0,1.0,6.0,40.0,0.0
74.0,48.0,1.0,1.0,6.0,40.0,0.0
75.0,48.0,1.0,1.0,6.0,40.0,0.0
76.0,48.0,1.0,1.0,6.0,40.0,0.0
77.0,48.0,1.0,1.0,6.0,40.0,0.0
78.0,48.0,1.0,1.0,6.0,40.0,0.0
79.0,48.0,1.0,1.0,6.0,40.0,0.0
80.0,48.0,1.0,1.0,6.0,40.0,0.0
81.0,48.0,1.0,1.0,6.0,40.0,0.0
82.0,48.0,1.0,1.0,6.0,40.0,0.0
83.0,48.0,1.0,1.0,6.0,40.0,0.0
